Hz,Magnitude
7.8125,0.00133156
15.625,0.000927116
23.4375,0.00189932
31.25,0.00289807
39.0625,0.000599992
46.875,0.000545924
54.6875,0.000435716
62.5,0.000456634
70.3125,0.000529273
78.125,0.000806189
85.9375,0.000139521
93.75,0.000813392
101.562,0.000445122
109.375,0.000371334
117.188,0.000135917
125,0.000659506
132.812,0.000543751
140.625,0.000176156
148.438,0.000427446
156.25,0.000322751
164.062,0.000159585
171.875,0.000621438
179.688,0.00140612
187.5,0.000648846
195.312,0.00161881
203.125,0.00277979
210.938,0.00262011
218.75,0.00188116
226.562,0.000205319
234.375,0.00182799
242.188,0.0029922
250,0.00182243
257.812,0.00409898
265.625,0.00295762
273.438,0.00842656
281.25,0.00982595
289.062,0.0590906
296.875,0.22802
304.688,0.220097
312.5,0.0602584
320.312,0.0105026
328.125,0.0098319
335.938,0.00432116
343.75,0.00306948
351.562,0.00178729
359.375,0.00133933
367.188,0.0012838
375,0.000768941
382.812,0.000380258
390.625,0.000333625
398.438,0.000188609
406.25,0.000141152
414.062,0.000113802
421.875,0.000127302
429.688,1.55147e-05
437.5,8.06281e-05
445.312,9.21765e-05
453.125,0.00014779
460.938,0.000168585
468.75,0.000108837
476.562,0.000114179
484.375,0.000247173
492.188,0.000269719
500,0.000134924
507.812,0.000322249
515.625,0.000166908
523.438,5.29542e-05
531.25,8.72935e-05
539.062,0.000377005
546.875,0.000293582
554.688,0.00018654
562.5,7.37754e-05
570.312,0.00030181
578.125,0.000118463
585.938,0.000182712
593.75,0.000407802
601.562,0.000449065
609.375,0.00270931
617.188,0.0116987
625,0.0785517
632.812,0.0897619
640.625,0.0227994
648.438,0.0022028
656.25,0.00118084
664.062,0.000101804
671.875,0.000354438
679.688,0.000202399
687.5,0.000195288
695.312,0.000147931
703.125,0.000140656
710.938,8.25409e-05
718.75,0.000222485
726.562,0.00023919
734.375,4.14647e-05
742.188,0.000309215
750,0.000287654
757.812,0.000205826
765.625,0.000205495
773.438,0.000254749
781.25,0.000163285
789.062,0.00011684
796.875,0.000173388
804.688,0.000106973
812.5,0.000106073
820.312,0.000129844
828.125,2.76589e-05
835.938,0.000103046
843.75,0.000181774
851.562,0.000231919
859.375,0.00017064
867.188,0.000202433
875,0.000218065
882.812,0.000423578
890.625,0.00058261
898.438,0.000403038
906.25,0.000613031
914.062,0.000515015
921.875,0.000208019
929.688,0.0001473
937.5,0.000200131
945.312,0.00011118
953.125,0.000213813
960.938,0.000258488
968.75,0.000284571
976.562,0.000255196
984.375,0.000167252
992.188,0.000101223
1000,2.65926e-05
1007.81,7.56202e-05
1015.62,9.94593e-05
1023.44,0.000229569
1031.25,0.000131685
1039.06,0.000189219
1046.88,0.000289438
1054.69,0.000157481
1062.5,0.000123346
1070.31,0.000143014
1078.12,0.000215532
1085.94,0.00011874
1093.75,7.34163e-05
1101.56,0.000189696
1109.38,0.000236089
1117.19,7.13505e-05
1125,7.96976e-05
1132.81,0.000158345
1140.62,9.08751e-05
1148.44,6.95568e-05
1156.25,2.72416e-05
1164.06,6.20259e-05
1171.88,0.000115059
1179.69,0.000121329
1187.5,6.18786e-05
1195.31,0.000271597
1203.12,0.000390866
1210.94,0.00023649
1218.75,0.00013688
1226.56,6.33987e-05
1234.38,0.000175792
1242.19,6.48036e-05
1250,0.000169836
1257.81,0.000159597
1265.62,0.000389395
1273.44,0.000426016
1281.25,0.000122321
1289.06,0.00023608
1296.88,0.000351749
1304.69,0.000218295
1312.5,8.45592e-05
1320.31,6.06854e-05
1328.12,0.000144197
1335.94,0.000231956
1343.75,0.000191804
1351.56,0.000233241
1359.38,0.000405841
1367.19,0.000466642
1375,0.000214834
1382.81,0.000212159
1390.62,0.000134913
1398.44,0.000298407
1406.25,0.000282603
1414.06,0.00020799
1421.88,0.000272032
1429.69,0.000165605
1437.5,0.000278433
1445.31,0.000281909
1453.12,0.000234949
1460.94,0.00015602
1468.75,4.74491e-05
1476.56,7.08532e-05
1484.38,0.000185511
1492.19,3.44504e-05
1500,0.000253436
1507.81,0.000200424
1515.62,0.000101794
1523.44,6.0161e-05
1531.25,9.01352e-05
1539.06,0.000158998
1546.88,0.000323308
1554.69,0.000286145
1562.5,9.01143e-05
1570.31,5.89098e-05
1578.12,0.000121833
1585.94,0.000138162
1593.75,0.000157569
1601.56,0.000142132
1609.38,0.000172808
1617.19,0.000171296
1625,0.000213565
1632.81,0.000327188
1640.62,0.000188297
1648.44,0.000174216
1656.25,0.000341864
1664.06,0.000411267
1671.88,0.000417129
1679.69,0.000292058
1687.5,0.00021797
1695.31,0.000286055
1703.12,3.2438e-05
1710.94,0.000134843
1718.75,0.000120261
1726.56,0.000225592
1734.38,4.84076e-05
1742.19,0.000552521
1750,0.000682964
1757.81,0.000357932
1765.62,0.00012647
1773.44,0.000176759
1781.25,0.000239243
1789.06,0.000223362
1796.88,0.000209378
1804.69,0.000172396
1812.5,7.4346e-05
1820.31,0.000311868
1828.12,0.000203064
1835.94,0.000187542
1843.75,0.000304883
1851.56,0.00013432
1859.38,0.000237276
1867.19,0.000188292
1875,0.000263552
1882.81,0.000172629
1890.62,0.000119584
1898.44,0.000229348
1906.25,0.000264672
1914.06,0.000122281
1921.88,9.58482e-05
1929.69,0.000114605
1937.5,0.000154417
1945.31,0.000124704
1953.12,0.000252658
1960.94,7.96245e-05
1968.75,0.00020639
1976.56,8.84068e-05
1984.38,0.000357078
1992.19,0.000137569
