Hz,Magnitude
7.8125,0.000228839
15.625,0.000195432
23.4375,0.000251389
31.25,0.000470278
39.0625,0.000781066
46.875,0.00109599
54.6875,0.00137329
62.5,0.0014727
70.3125,0.00143497
78.125,0.00113553
85.9375,0.000668686
93.75,8.46117e-05
101.562,-0.000578148
109.375,-0.00111044
117.188,-0.0015319
125,-0.00173679
132.812,-0.00167687
140.625,-0.00143695
148.438,-0.0010559
156.25,-0.000646382
164.062,-0.000248405
171.875,2.61221e-05
179.688,0.000137962
187.5,0.000137273
195.312,5.30825e-05
203.125,-3.82779e-05
210.938,-7.98383e-05
218.75,-1.49135e-05
226.562,0.000233774
234.375,0.000559029
242.188,0.000962366
250,0.00134091
257.812,0.00161319
265.625,0.00171519
273.438,0.00154341
281.25,0.00120357
289.062,0.00064529
296.875,2.33768e-05
304.688,-0.000591631
312.5,-0.0010897
320.312,-0.00142585
328.125,-0.001525
335.938,-0.00142438
343.75,-0.00117434
351.562,-0.000866718
359.375,-0.000528369
367.188,-0.000294194
375,-0.000178855
382.812,-0.000179858
390.625,-0.000235893
398.438,-0.000375152
406.25,-0.000401743
414.062,-0.000373165
421.875,-0.000166336
429.688,0.000202671
437.5,0.000678009
445.312,0.00114528
453.125,0.00154189
460.938,0.00181126
468.75,0.00182118
476.562,0.00160711
484.375,0.00118725
492.188,0.000621458
500,-2.12121e-05
507.812,-0.000577165
515.625,-0.00103165
523.438,-0.00123715
531.25,-0.00129549
539.062,-0.00115237
546.875,-0.000901791
554.688,-0.000663851
562.5,-0.000438488
570.312,-0.000362281
578.125,-0.000387039
585.938,-0.000468607
593.75,-0.000623783
601.562,-0.000747817
609.375,-0.000755465
617.188,-0.000582782
625,-0.000245854
632.812,0.000246909
640.625,0.000790346
648.438,0.00128742
656.25,0.00168901
664.062,0.0019083
671.875,0.0018646
679.688,0.00155352
687.5,0.00109787
695.312,0.000524938
703.125,-5.46211e-05
710.938,-0.00053829
718.75,-0.000835453
726.562,-0.000979305
734.375,-0.000936452
742.188,-0.000808412
750,-0.000599406
757.812,-0.00046546
765.625,-0.000400505
