Time,Disturbance,Actuator,Error,RMS_E,W_S,W_C
0.428756,-0.116809,0,-0.118879,0,0,0
0.429006,-0.171558,0,-0.167416,0,0,0
0.429256,-0.319052,0,-0.317203,0,0,0
0.429506,-0.507254,0,-0.502945,0,0,0
0.429756,-0.576234,0,-0.574488,0,0,0
0.430006,-0.397047,0,-0.397978,0,0,0
0.430256,-0.0128883,0,-0.00837397,0,0,0
0.430506,0.384319,0,0.385617,0,0,0
0.430756,0.600342,0,0.602255,0,0,0
0.431006,0.550214,0,0.546674,0,0,0
0.431256,0.33836,0,0.334355,0,0,0
0.431506,0.154665,0,0.15285,0,0,0
0.431756,0.0626162,0,0.0668931,0,0,0
0.432006,0.0225515,0,0.0180613,0,0,0
0.432256,-0.0963232,0,-0.0939868,0,0,0
0.432506,-0.335833,0,-0.338304,0,0,0
0.432756,-0.573964,0,-0.572477,0,0,0
0.433006,-0.637751,0,-0.634299,0,0,0
0.433256,-0.430592,0,-0.43488,0,0,0
0.433506,-0.0289104,0,-0.0264631,0,0,0
0.433756,0.344206,0,0.347584,0,0,0
0.434006,0.517469,0,0.520807,0,0,0
0.434256,0.476797,0,0.479118,0,0,0
0.434506,0.327629,0,0.329648,0,0,0
0.434756,0.223527,0,0.219387,0,0,0
0.435006,0.188116,0,0.183848,0,0,0
0.435256,0.146603,0,0.144084,0,0,0
0.435506,-0.0385986,0,-0.0397685,0,0,0
0.435756,-0.342848,0,-0.346172,0,0,0
0.436006,-0.622303,0,-0.623065,0,0,0
0.436256,-0.672222,0,-0.667578,0,0,0
0.436506,-0.447993,0,-0.445826,0,0,0
0.436756,-0.0587537,0,-0.0582548,0,0,0
0.437006,0.285778,0,0.290105,0,0,0
0.437256,0.425407,0,0.425021,0,0,0
0.437506,0.381827,0,0.379013,0,0,0
0.437756,0.302335,0,0.302451,0,0,0
0.438006,0.292513,0,0.289265,0,0,0
0.438256,0.314461,0,0.314015,0,0,0
0.438506,0.256791,0,0.25482,0,0,0
0.438756,0.014176,0,0.0190265,0,0,0
0.439007,-0.35329,0,-0.355101,0,0,0
0.439257,-0.645887,0,-0.645437,0,0,0
0.439507,-0.676998,0,-0.68088,0,0,0
0.439757,-0.443448,0,-0.439805,0,0,0
0.440007,-0.0784121,0,-0.0784837,0,0,0
0.440257,0.198537,0,0.202359,0,0,0
0.440507,0.300919,0,0.304,0,0,0
0.440757,0.287258,0,0.290298,0,0,0
0.441007,0.297044,0,0.299615,0,0,0
0.441257,0.374417,0,0.37024,0,0,0
0.441507,0.431323,0,0.428497,0,0,0
0.441757,0.349947,0,0.352468,0,0,0
0.442007,0.0428592,0,0.0381203,0,0,0
0.442257,-0.356337,0,-0.35848,0,0,0
0.442507,-0.643093,0,-0.644005,0,0,0
0.442757,-0.651172,0,-0.649723,0,0,0
0.443007,-0.423803,0,-0.424725,0,0,0
0.443257,-0.109202,0,-0.106538,0,0,0
0.443507,0.104352,0,0.109201,0,0,0
0.443757,0.170261,0,0.174042,0,0,0
0.444007,0.203818,0,0.203689,0,0,0
0.444257,0.291918,0,0.291807,0,0,0
0.444507,0.44836,0,0.443731,0,0,0
0.444757,0.532664,0,0.531179,0,0,0
0.445007,0.414382,0,0.416229,0,0,0
0.445257,0.0718457,0,0.0724259,0,0,0
0.445507,-0.341958,0,-0.3426,0,0,0
0.445757,-0.610462,0,-0.608592,0,0,0
0.446007,-0.608614,0,-0.609241,0,0,0
0.446257,-0.390887,0,-0.386521,0,0,0
0.446507,-0.148933,0,-0.148264,0,0,0
0.446757,-0.00886704,0,-0.0100642,0,0,0
0.447007,0.0410388,0,0.0413219,0,0,0
0.447257,0.111572,0,0.115185,0,0,0
0.447507,0.288972,0,0.288485,0,0,0
0.447757,0.512271,0,0.508985,0,0,0
0.448007,0.613681,0,0.617278,0,0,0
0.448257,0.467716,0,0.46344,0,0,0
0.448507,0.0976915,0,0.0956217,0,0,0
0.448757,-0.313421,0,-0.316762,0,0,0
0.449007,-0.547325,0,-0.550695,0,0,0
0.449257,-0.53175,0,-0.534695,0,0,0
0.449507,-0.365636,0,-0.367444,0,0,0
0.449757,-0.199055,0,-0.196441,0,0,0
0.450007,-0.135951,0,-0.137291,0,0,0
0.450257,-0.0949115,0,-0.0899794,0,0,0
0.450507,0.0289547,0,0.0300867,0,0,0
0.450757,0.294426,0,0.298137,0,0,0
0.451007,0.564127,0,0.568651,0,0,0
0.451257,0.663916,0,0.665554,0,0,0
0.451507,0.496398,0,0.494519,0,0,0
0.451757,0.111569,0,0.113731,0,0,0
0.452007,-0.267215,0,-0.270139,0,0,0
0.452257,-0.465172,0,-0.46718,0,0,0
0.452507,-0.446679,0,-0.449342,0,0,0
0.452757,-0.329803,0,-0.333359,0,0,0
0.453007,-0.263242,0,-0.264054,0,0,0
0.453257,-0.258429,0,-0.257657,0,0,0
0.453507,-0.223015,0,-0.221233,0,0,0
0.453757,-0.0284135,0,-0.0322877,0,0,0
0.454007,0.292249,0,0.294941,0,0,0
0.454257,0.599493,0,0.600446,0,0,0
0.454507,0.697002,0,0.696548,0,0,0
0.454757,0.502084,0,0.505456,0,0,0
0.455007,0.130194,0,0.127895,0,0,0
0.455257,-0.207483,0,-0.21229,0,0,0
0.455507,-0.35661,0,-0.352172,0,0,0
0.455757,-0.35178,0,-0.353212,0,0,0
0.456007,-0.303473,0,-0.302815,0,0,0
0.456257,-0.325706,0,-0.32165,0,0,0
0.456507,-0.370881,0,-0.367403,0,0,0
0.456757,-0.323837,0,-0.318868,0,0,0
0.457007,-0.0815718,0,-0.0805215,0,0,0
0.457257,0.288355,0,0.290196,0,0,0
0.457507,0.609896,0,0.6104,0,0,0
0.457757,0.68811,0,0.692936,0,0,0
0.458007,0.479144,0,0.483729,0,0,0
0.458257,0.149545,0,0.148576,0,0,0
0.458507,-0.127507,0,-0.126267,0,0,0
0.458757,-0.231308,0,-0.227928,0,0,0
0.459007,-0.240372,0,-0.243806,0,0,0
0.459257,-0.282053,0,-0.278521,0,0,0
0.459507,-0.387738,0,-0.384707,0,0,0
0.459757,-0.486562,0,-0.489421,0,0,0
0.460007,-0.420198,0,-0.419479,0,0,0
0.460258,-0.130472,0,-0.128035,0,0,0
0.460508,0.282473,0,0.281913,0,0,0
0.460758,0.603474,0,0.598858,0,0,0
0.461008,0.653772,0,0.657559,0,0,0
0.461258,0.450661,0,0.447474,0,0,0
0.461508,0.168479,0,0.170057,0,0,0
0.461758,-0.0252778,0,-0.0223731,0,0,0
0.462008,-0.106364,0,-0.109882,0,0,0
0.462258,-0.143756,0,-0.145335,0,0,0
0.462508,-0.261645,0,-0.259399,0,0,0
0.462758,-0.45376,0,-0.457511,0,0,0
0.463008,-0.571629,0,-0.570778,0,0,0
0.463258,-0.48334,0,-0.483356,0,0,0
0.463508,-0.151544,0,-0.153368,0,0,0
0.463758,0.263192,0,0.264447,0,0,0
