Time,Disturbance,Actuator,Error,RMS_E,W_S,W_C
0.429006,0.610561,0,0.614703,0,0,0
0.429256,0.597349,0,0.599197,0,0,0
0.429506,0.513847,0,0.518156,0,0,0
0.429756,0.365904,0,0.36765,0,0,0
0.430006,0.174945,0,0.174014,0,0,0
0.430256,-0.04005,0,-0.0355357,0,0,0
0.430506,-0.249887,0,-0.248588,0,0,0
0.430756,-0.413397,0,-0.411484,0,0,0
0.431006,-0.524848,0,-0.528388,0,0,0
0.431256,-0.575116,0,-0.579121,0,0,0
0.431506,-0.550024,0,-0.551839,0,0,0
0.431756,-0.488678,0,-0.484401,0,0,0
0.432006,-0.395156,0,-0.399646,0,0,0
0.432256,-0.302291,0,-0.299954,0,0,0
0.432506,-0.229431,0,-0.231902,0,0,0
0.432756,-0.172135,0,-0.170649,0,0,0
0.433006,-0.138438,0,-0.134986,0,0,0
0.433256,-0.12107,0,-0.125359,0,0,0
0.433506,-0.0996236,0,-0.0971763,0,0,0
0.433756,-0.0692598,0,-0.0658823,0,0,0
0.434006,-0.00541968,0,-0.00208243,0,0,0
0.434256,0.106975,0,0.109297,0,0,0
0.434506,0.240903,0,0.242922,0,0,0
0.434756,0.388219,0,0.384079,0,0,0
0.435006,0.518097,0,0.513829,0,0,0
0.435256,0.627889,0,0.625371,0,0,0
0.435506,0.66953,0,0.668361,0,0,0
0.435756,0.645005,0,0.641681,0,0,0
0.436006,0.541276,0,0.540514,0,0,0
0.436256,0.386748,0,0.391392,0,0,0
0.436506,0.18454,0,0.186707,0,0,0
0.436756,-0.0249558,0,-0.0244569,0,0,0
0.437006,-0.20731,0,-0.202982,0,0,0
0.437256,-0.354008,0,-0.354394,0,0,0
0.437506,-0.450473,0,-0.453288,0,0,0
0.437756,-0.483519,0,-0.483404,0,0,0
0.438006,-0.462968,0,-0.466216,0,0,0
0.438256,-0.41682,0,-0.417266,0,0,0
0.438506,-0.349522,0,-0.351494,0,0,0
0.438756,-0.295169,0,-0.290318,0,0,0
0.439007,-0.266631,0,-0.268442,0,0,0
0.439257,-0.258045,0,-0.257595,0,0,0
0.439507,-0.253834,0,-0.257716,0,0,0
0.439757,-0.257959,0,-0.254316,0,0,0
0.440007,-0.233603,0,-0.233675,0,0,0
0.440257,-0.181934,0,-0.178112,0,0,0
0.440507,-0.083626,0,-0.0805445,0,0,0
0.440757,0.0557073,0,0.0587473,0,0,0
0.441007,0.230545,0,0.233116,0,0,0
0.441257,0.406161,0,0.401984,0,0,0
0.441507,0.550034,0,0.547208,0,0,0
0.441757,0.662325,0,0.664846,0,0,0
0.442007,0.693264,0,0.688525,0,0,0
0.442257,0.65665,0,0.654507,0,0,0
0.442507,0.547674,0,0.546762,0,0,0
0.442757,0.39368,0,0.39513,0,0,0
0.443007,0.197576,0,0.196654,0,0,0
0.443257,0.0106266,0,0.0132901,0,0,0
0.443507,-0.154295,0,-0.149445,0,0,0
0.443757,-0.281108,0,-0.277327,0,0,0
0.444007,-0.341181,0,-0.341309,0,0,0
0.444257,-0.364971,0,-0.365083,0,0,0
0.444507,-0.352968,0,-0.357596,0,0,0
0.444757,-0.334091,0,-0.335575,0,0,0
0.445007,-0.311221,0,-0.309374,0,0,0
0.445257,-0.302672,0,-0.302092,0,0,0
0.445507,-0.314233,0,-0.314875,0,0,0
0.445757,-0.343584,0,-0.341715,0,0,0
0.446007,-0.372094,0,-0.372721,0,0,0
0.446257,-0.373919,0,-0.369554,0,0,0
0.446507,-0.347267,0,-0.346598,0,0,0
0.446757,-0.271758,0,-0.272956,0,0,0
0.447007,-0.142629,0,-0.142345,0,0,0
0.447257,0.0271449,0,0.0307576,0,0,0
0.447507,0.222302,0,0.221814,0,0,0
0.447757,0.411858,0,0.408572,0,0,0
0.448007,0.565785,0,0.569382,0,0,0
0.448257,0.667764,0,0.663488,0,0,0
0.448507,0.697741,0,0.695671,0,0,0
0.448757,0.648587,0,0.645246,0,0,0
0.449007,0.538991,0,0.535622,0,0,0
0.449257,0.384317,0,0.381372,0,0,0
0.449507,0.207448,0,0.20564,0,0,0
0.449757,0.0491981,0,0.0518119,0,0,0
0.450007,-0.0904714,0,-0.0918117,0,0,0
0.450257,-0.178313,0,-0.173381,0,0,0
