Time,Disturbance,Actuator,Error,RMS_E
0.400255,0.102286,0,0.105322,0
0.400505,0.389459,0,0.389353,0
0.400755,0.521893,0,0.523373,0
0.401005,0.49364,0,0.493861,0
0.401255,0.375367,0,0.378597,0
0.401505,0.261037,0,0.258675,0
0.401755,0.204746,0,0.202202,0
0.402005,0.188904,0,0.191568,0
0.402255,0.143813,0,0.142135,0
0.402505,0.00448321,0,0.00854896,0
0.402755,-0.233249,0,-0.235984,0
0.403005,-0.495728,0,-0.491851,0
0.403255,-0.666879,0,-0.661885,0
0.403505,-0.65469,0,-0.654457,0
0.403755,-0.4476,0,-0.444773,0
0.404005,-0.124943,0,-0.124581,0
0.404255,0.185922,0,0.181028,0
0.404505,0.379246,0,0.374806,0
0.404755,0.424435,0,0.419801,0
0.405005,0.371593,0,0.367228,0
0.405255,0.307186,0,0.303895,0
0.405505,0.290514,0,0.295509,0
0.405755,0.312911,0,0.309601,0
0.406005,0.306239,0,0.302556,0
0.406255,0.194823,0,0.192567,0
0.406505,-0.0436541,0,-0.0472971,0
0.406755,-0.349659,0,-0.353682,0
0.407005,-0.605696,0,-0.606446,0
0.407255,-0.699779,0,-0.703936,0
0.407505,-0.589373,0,-0.5845,0
0.407755,-0.32602,0,-0.325447,0
0.408005,-0.0251246,0,-0.0255923,0
0.408255,0.199902,0,0.200394,0
0.408505,0.298457,0,0.295723,0
0.408755,0.30087,-0.00787402,0.296742,0
0.409005,0.284693,-0.0314961,0.284149,0
0.409255,0.312789,-0.0708661,0.313963,0
0.409505,0.385031,-0.133858,0.386741,0
0.409755,0.435573,-0.228346,0.432389,0
0.410005,0.378196,-0.338583,0.374892,0
0.410255,0.169803,-0.385827,0.169892,0
0.410505,-0.149669,-0.314961,-0.152585,0
0.410755,-0.468639,-0.0866142,-0.484779,0
0.411005,-0.66123,0.267717,-0.693449,0
0.411255,-0.656218,0.732283,-0.70067,0
0.411505,-0.474714,1,-0.534435,0
0.411755,-0.21388,1,-0.282265,0
0.412005,0.0124678,1,-0.0540023,0
0.412255,0.138877,0.527559,0.0928497,0
0.412505,0.178113,-0.0629921,0.177679,0
0.412755,0.198564,-0.637795,0.250303,0
0.413005,0.266198,-1,0.391817,0
0.413255,0.390032,-1,0.574906,0
0.413505,0.508374,-1,0.729861,0
0.413755,0.525765,-1,0.748871,0
0.414005,0.377235,-1,0.566011,0
0.414255,0.0782163,-1,0.195225,0
0.414505,-0.273092,-0.393701,-0.243961,0
0.414755,-0.544657,1,-0.630554,0
0.415005,-0.641076,1,-0.84868,0
0.415255,-0.552865,1,-0.866778,0
0.415505,-0.35455,1,-0.733213,0
0.415755,-0.154095,1,-0.559421,0
0.416005,-0.0264495,1,-0.390362,0
0.416255,0.0263116,1,-0.253698,0
0.416505,0.0642684,-0.291339,-0.0863885,0
0.416755,0.156671,-1,0.164055,0
0.417005,0.323226,-1,0.496679,0
0.417255,0.509352,-1,0.827904,0
0.417506,0.61334,-1,1.04629,0
0.417756,0.548893,-1,1.02695,0
0.418006,0.303622,-1,0.756096,0
0.418256,-0.0448873,-1,0.32478,0
0.418506,-0.36669,-0.15748,-0.127149,0
0.418756,-0.548697,1,-0.475425,0
0.419006,-0.552991,1,-0.664579,0
0.419256,-0.429275,1,-0.715937,0
0.419506,-0.274854,1,-0.701439,0
0.419756,-0.169465,1,-0.669528,0
0.420006,-0.126982,1,-0.636507,0
0.420256,-0.0947146,1,-0.543468,0
0.420506,0.000595099,0.377953,-0.323316,0
0.420756,0.1913,-1,0.0230593,0
0.421006,0.433954,-1,0.457756,0
0.421256,0.625086,-1,0.837794,0
0.421506,0.659714,-1,1.03541,0
0.421756,0.496105,-1,0.974888,0
0.422006,0.185527,-1,0.695726,0
0.422256,-0.152507,-1,0.323801,0
0.422506,-0.394746,-0.645669,-0.0212649,0
0.422756,-0.479215,1,-0.247486,0
0.423006,-0.430683,1,-0.37803,0
0.423256,-0.332743,1,-0.473122,0
0.423506,-0.266115,1,-0.578841,0
0.423756,-0.254108,1,-0.685464,0
0.424006,-0.250554,1,-0.735853,0
0.424256,-0.177774,1,-0.645145,0
0.424506,0.0114611,1,-0.383415,0
0.424756,0.2892,-1,0.0279,0
0.425006,0.556048,-1,0.456337,0
0.425256,0.692943,-1,0.779427,0
0.425506,0.629749,-1,0.893927,0
0.425756,0.387523,-1,0.776332,0
0.426006,0.0680431,-1,0.522638,0
0.426256,-0.203459,-1,0.251458,0
0.426506,-0.346523,-1,0.0440258,0
0.426756,-0.362879,1,-0.0809711,0
0.427006,-0.321003,1,-0.201893,0
0.427256,-0.300213,1,-0.349322,0
0.427506,-0.331633,1,-0.555407,0
0.427756,-0.375551,1,-0.721794,0
0.428006,-0.349872,1,-0.764314,0
0.428256,-0.191078,1,-0.611742,0
0.428506,0.0928104,1,-0.277615,0
0.428756,0.412982,-1,0.143216,0
0.429006,0.642782,-1,0.523804,0
0.429256,0.686952,-1,0.733143,0
0.429506,0.534869,-1,0.741439,0
0.429756,0.264701,-1,0.586674,0
0.430006,-0.00387066,-1,0.385891,0
0.430256,-0.178353,-1,0.211575,0
0.430506,-0.240578,-1,0.0974041,0
0.430756,-0.244211,1,0.00245175,0
0.431006,-0.265935,1,-0.160512,0
0.431256,-0.344132,1,-0.395553,0
0.431506,-0.446335,1,-0.645841,0
0.431756,-0.487318,1,-0.808018,0
0.432006,-0.386826,1,-0.760481,0
0.432256,-0.129426,1,-0.503103,0
0.432506,0.213511,1,-0.10858,0
0.432756,0.515297,-1,0.298853,0
0.433006,0.661006,-1,0.574156,0
0.433256,0.609406,-1,0.673719,0
0.433506,0.411384,-1,0.624583,0
0.433756,0.174564,-1,0.501833,0
0.434006,-0.00279565,-1,0.372,0
0.434256,-0.0867997,-1,0.287816,0
0.434506,-0.117457,-1,0.189576,0
0.434756,-0.168704,1,0.0388554,0
0.435006,-0.286567,1,-0.216562,0
0.435256,-0.447693,1,-0.526373,0
0.435506,-0.566279,1,-0.800494,0
0.435756,-0.546557,1,-0.879267,0
0.436006,-0.347271,1,-0.737506,0
0.436256,-0.0164092,1,-0.388679,0
0.436506,0.327474,1,0.013334,0
0.436756,0.557011,-1,0.355571,0
0.437006,0.603745,-1,0.541729,0
0.437256,0.489981,-1,0.579669,0
0.437506,0.306509,-1,0.547096,0
0.437756,0.151606,-1,0.503804,0
0.438006,0.070856,-1,0.471912,0
0.438256,0.0360533,-1,0.41839,0
0.438506,-0.0243815,-1,0.295672,0
0.438756,-0.165254,1,0.0419311,0
0.439007,-0.375044,1,-0.309197,0
0.439257,-0.571262,1,-0.669161,0
0.439507,-0.645565,1,-0.891506,0
0.439757,-0.530595,1,-0.885855,0
0.440007,-0.246244,1,-0.648856,0
0.440257,0.104831,1,-0.293964,0
0.440507,0.391086,1,0.0603847,0
0.440757,0.522238,-1,0.31055,0
0.441007,0.492954,-1,0.425596,0
0.441257,0.374381,-1,0.470327,0
0.441507,0.260378,-1,0.510676,0
0.441757,0.204535,-1,0.56549,0
0.442007,0.188795,-1,0.597139,0
0.442257,0.143189,-1,0.546039,0
0.442507,0.00300089,-1,0.339436,0
0.442757,-0.235259,1,-0.0186175,0
0.443007,-0.497505,1,-0.420004,0
0.443257,-0.66755,1,-0.758566,0
0.443507,-0.653804,1,-0.896281,0
0.443757,-0.445463,1,-0.79704,0
0.444007,-0.122405,1,-0.535064,0
0.444257,0.187927,1,-0.214966,0
0.444507,0.380105,1,0.045387,0
0.444757,0.424286,-1,0.195263,0
0.445007,0.371034,-1,0.286573,0
0.445257,0.306845,-1,0.389996,0
0.445507,0.290602,-1,0.529856,0
0.445757,0.313093,-1,0.668147,0
0.446007,0.305885,-1,0.711389,0
0.446257,0.193496,-1,0.589264,0
0.446507,-0.0458181,-1,0.285527,0
0.446757,-0.35193,1,-0.123914,0
0.447007,-0.607128,1,-0.524917,0
0.447257,-0.699705,1,-0.77528,0
0.447507,-0.587845,1,-0.822244,0
0.447757,-0.32374,1,-0.674942,0
0.448007,-0.0230449,1,-0.424074,0
0.448257,0.20111,1,-0.192488,0
0.448507,0.298734,1,-0.0355096,0
0.448757,0.300719,-1,0.0773677,0
0.449007,0.284685,-1,0.205813,0
0.449257,0.313218,-1,0.393108,0
0.449507,0.385615,-1,0.619737,0
0.449757,0.435656,-1,0.782506,0
0.450007,0.377213,-1,0.774359,0
0.450257,0.167721,-1,0.561087,0
0.450507,-0.152258,-1,0.175044,0
0.450757,-0.470693,1,-0.252604,0
0.451007,-0.661959,1,-0.586121,0
0.451257,-0.655422,1,-0.734993,0
0.451507,-0.472885,1,-0.703544,0
0.451757,-0.211929,1,-0.561434,0
0.452007,0.0138119,1,-0.389152,0
0.452257,0.139446,1,-0.25208,0
0.452507,0.178216,1,-0.150441,0
0.452757,0.198826,-1,-0.0168982,0
0.453007,0.266952,-1,0.186771,0
0.453257,0.39104,-1,0.476169,0
0.453507,0.508987,-1,0.748285,0
0.453757,0.525307,-1,0.867201,0
0.454007,0.375461,-1,0.772426,0
0.454257,0.0756388,-1,0.468377,0
0.454507,-0.275562,-1,0.0568435,0
0.454757,-0.546092,1,-0.330765,0
0.455007,-0.641068,1,-0.562084,0
0.455257,-0.551671,1,-0.634899,0
0.455507,-0.352941,1,-0.589826,0
0.455757,-0.152803,1,-0.496994,0
0.456007,-0.0258217,1,-0.427065,0
0.456257,0.0265586,1,-0.361553,0
0.456507,0.0646928,1,-0.264812,0
0.456757,0.157681,-1,-0.0640413,0
0.457007,0.324646,-1,0.247222,0
0.457257,0.510558,-1,0.596413,0
0.457507,0.613538,-1,0.850355,0
0.457757,0.547692,-1,0.897266,0
0.458007,0.301269,-1,0.700882,0
0.458257,-0.0475458,-1,0.34337,0
0.458507,-0.368691,-1,-0.0344281,0
0.458757,-0.549376,1,-0.332438,0
0.459007,-0.552442,1,-0.480374,0
0.459257,-0.428118,1,-0.516114,0
0.459507,-0.273826,1,-0.512708,0
0.459757,-0.168944,1,-0.513875,0
0.460007,-0.126792,1,-0.530952,0
0.460258,-0.0942815,1,-0.487458,0
0.460508,0.00166824,1,-0.327188,0
0.460758,0.193014,-1,-0.0283202,0
0.461008,0.435709,-1,0.362538,0
0.461258,0.626022,-1,0.709442,0
0.461508,0.659222,-1,0.899649,0
0.461758,0.49422,-1,0.840411,0
0.462008,0.18292,-1,0.583311,0
0.462258,-0.154789,-1,0.239673,0
0.462508,-0.395981,-1,-0.0609332,0
0.462758,-0.47927,1,-0.263199,0
0.463008,-0.430035,1,-0.352637,0
0.463258,-0.33206,1,-0.416641,0
0.463508,-0.265841,1,-0.506936,0
0.463758,-0.254115,1,-0.603211,0
0.464008,-0.250355,1,-0.646741,0
0.464258,-0.17681,1,-0.567021,0
0.464508,0.0132872,1,-0.314711,0
0.464758,0.291396,-1,0.0722663,0
0.465008,0.557675,-1,0.478585,0
0.465258,0.693245,-1,0.772477,0
0.465508,0.628512,-1,0.862347,0
0.465758,0.385276,-1,0.733456,0
0.466008,0.065706,-1,0.471214,0
0.466258,-0.20505,-1,0.184186,0
0.466508,-0.347091,-1,-0.0131419,0
0.466758,-0.36268,1,-0.138223,0
0.467008,-0.320694,1,-0.245893,0
0.467258,-0.300259,1,-0.387579,0
0.467508,-0.331998,1,-0.568358,0
0.467758,-0.375718,1,-0.723992,0
0.468008,-0.349221,1,-0.750581,0
0.468258,-0.189332,1,-0.587185,0
0.468508,0.0952052,1,-0.234109,0
0.468758,0.415177,-1,0.198545,0
0.469008,0.64388,-1,0.570446,0
0.469258,0.686498,-1,0.767218,0
0.469508,0.53316,-1,0.768391,0
0.469758,0.262552,-1,0.614223,0
0.470008,-0.00561912,-1,0.39873,0
0.470258,-0.179205,-1,0.211905,0
0.470508,-0.240731,-1,0.0945507,0
0.470758,-0.244226,1,-0.0188348,0
0.471008,-0.266304,1,-0.190571,0
0.471258,-0.344885,1,-0.429385,0
0.471508,-0.44698,1,-0.683029,0
0.471758,-0.487138,1,-0.838003,0
0.472008,-0.385453,1,-0.789878,0
0.472258,-0.127055,1,-0.523879,0
0.472508,0.216073,1,-0.1188,0
0.472758,0.517063,-1,0.299201,0
0.473008,0.661343,-1,0.580355,0
0.473258,0.608364,-1,0.689002,0
0.473508,0.409613,-1,0.649404,0
0.473758,0.172935,-1,0.515775,0
0.474008,-0.00375987,-1,0.392988,0
0.474258,-0.0871452,-1,0.30568,0
0.474508,-0.117707,-1,0.21125,0
0.474758,-0.169318,1,0.0486907,0
0.475008,-0.287681,1,-0.211174,0
0.475258,-0.448857,1,-0.533355,0
0.475508,-0.566738,1,-0.804146,0
0.475758,-0.545733,1,-0.890729,0
0.476008,-0.345182,1,-0.743034,0
0.476258,-0.0137007,1,-0.409929,0
0.476508,0.329737,1,-0.00524568,0
0.476758,0.558064,-1,0.34089,0
0.477008,0.603424,-1,0.521775,0
0.477258,0.488743,-1,0.57544,0
0.477508,0.305153,-1,0.539004,0
0.477758,0.150721,-1,0.501056,0
0.478008,0.070469,-1,0.467803,0
0.478258,0.0357864,-1,0.429202,0
0.478508,-0.025102,-1,0.306158,0
0.478758,-0.166645,1,0.0506741,0
0.479008,-0.376684,1,-0.301137,0
0.479258,-0.572386,1,-0.652408,0
0.479508,-0.645441,1,-0.885914,0
0.479758,-0.529,1,-0.880646,0
0.480008,-0.243718,1,-0.644353,0
0.480258,0.107351,1,-0.284491,0
0.480508,0.392727,1,0.0608245,0
0.480758,0.522566,-1,0.304543,0
0.481008,0.492288,-1,0.415996,0
0.481258,0.373415,-1,0.456108,0
0.481508,0.259712,-1,0.495709,0
0.481759,0.204331,-1,0.550307,0
0.482009,0.188659,-1,0.588538,0
0.482259,0.142544,-1,0.532882,0
0.482509,0.00154295,-1,0.332258,0
0.482759,-0.237252,1,-0.011911,0
0.483009,-0.499253,1,-0.417997,0
0.483259,-0.668196,1,-0.751829,0
0.483509,-0.652926,1,-0.890319,0
0.483759,-0.443342,1,-0.788597,0
0.484009,-0.11989,1,-0.516627,0
0.484259,0.189884,1,-0.204377,0
0.484509,0.380964,1,0.0550337,0
0.484759,0.424154,-1,0.205587,0
0.485009,0.370508,-1,0.29615,0
0.485259,0.306513,-1,0.389882,0
0.485509,0.290681,-1,0.525504,0
0.485759,0.313248,-1,0.665882,0
0.486009,0.305477,-1,0.707729,0
0.486259,0.192159,-1,0.588541,0
0.486509,-0.0479701,-1,0.282398,0
0.486759,-0.354194,1,-0.12866,0
0.487009,-0.608522,1,-0.530793,0
0.487259,-0.69962,1,-0.78529,0
0.487509,-0.586327,1,-0.817398,0
0.487759,-0.32146,1,-0.666816,0
0.488009,-0.0209839,1,-0.422504,0
0.488259,0.202315,1,-0.194636,0
0.488509,0.299054,1,-0.0325395,0
0.488759,0.300569,-1,0.0846452,0
0.489009,0.284689,-1,0.202666,0
0.489259,0.313641,-1,0.397457,0
0.489509,0.386163,-1,0.62069,0
0.489759,0.435711,-1,0.780909,0
