Time,Disturbance,Actuator,Error,RMS_E
1.41019,0.103302,0.401575,0.0115989,0.0134604
1.42019,0.0494472,-0.244094,-8.5684e-05,0.0134604
1.43019,0.103479,0.393701,0.00212265,0.0134604
1.44019,0.0482598,-0.244094,0.00314225,0.0134604
1.45019,0.103655,0.401575,0.010312,0.0134604
1.46019,0.0470719,-0.259843,-0.00375525,0.0134604
1.47019,0.103831,0.377953,-0.0108174,0.0134604
1.48019,0.0458835,-0.244094,0.00643669,0.0134604
1.49019,0.104006,0.385827,-0.0163109,0.0134604
1.50019,0.0446946,-0.244094,0.0204052,0.011852
1.51019,0.104181,0.393701,-0.00041896,0.011852
1.52019,0.0435051,-0.244094,0.00501369,0.011852
1.53018,0.104355,0.393701,0.0133226,0.011852
1.54018,0.0423152,-0.251969,-0.00473585,0.011852
1.55018,0.104529,0.393701,0.0068388,0.011852
1.56018,0.0411248,-0.251969,-0.00084354,0.011852
1.57018,0.104701,0.393701,0.00192369,0.011852
1.58018,0.039934,-0.244094,0.0124746,0.011852
1.59018,0.104874,0.409449,0.019674,0.011852
1.60018,0.0387426,-0.251969,0.00358839,0.00971923
1.61018,0.105045,0.385827,0.00245343,0.00971923
1.62018,0.0375508,-0.251969,-0.00900215,0.00971923
1.63018,0.105216,0.401575,0.0318721,0.00971923
1.64018,0.0363585,-0.259843,-0.00769341,0.00971923
1.65018,0.105387,0.385827,0.00209846,0.00971923
1.66018,0.0351657,-0.259843,-0.0169294,0.00971923
1.67017,0.105556,0.401575,0.0202451,0.00971923
1.68017,0.0339725,-0.244094,0.0180403,0.00971923
1.69017,0.105726,0.385827,-0.00885797,0.00971923
1.70017,0.0327788,-0.244094,0.000143888,0.0134779
1.71017,0.105894,0.393701,0.0227083,0.0134779
1.72017,0.0315847,-0.244094,0.00423328,0.0134779
1.73017,0.106062,0.385827,0.00736641,0.0134779
1.74017,0.0303901,-0.267717,-0.0222539,0.0134779
1.75017,0.10623,0.401575,0.0135091,0.0134779
1.76017,0.0291951,-0.244094,0.0167572,0.0134779
1.77017,0.106397,0.385827,0.0146087,0.0134779
1.78017,0.0279996,-0.259843,-0.010804,0.0134779
1.79017,0.106563,0.385827,-0.00726352,0.0134779
1.80017,0.0268037,-0.259843,-0.00989085,0.0135569
1.81016,0.106729,0.385827,-0.0029079,0.0135569
1.82016,0.0256074,-0.251969,0.0157997,0.0135569
1.83016,0.106894,0.393701,0.00146912,0.0135569
1.84016,0.0244107,-0.259843,-0.00248833,0.0135569
1.85016,0.107059,0.385827,-0.0095346,0.0135569
1.86016,0.0232136,-0.251969,-0.000506396,0.0135569
1.87016,0.107223,0.385827,0.000611912,0.0135569
1.88016,0.022016,-0.251969,0.0154966,0.0135569
1.89016,0.107386,0.370079,-0.0215976,0.0135569
1.90016,0.0208181,-0.251969,-0.00139467,0.0114125
1.91016,0.107549,0.377953,-0.0162909,0.0114125
1.92016,0.0196197,-0.259843,-0.000801318,0.0114125
1.93016,0.107711,0.385827,-0.00379465,0.0114125
1.94016,0.018421,-0.251969,0.00837445,0.0114125
1.95015,0.107873,0.393701,0.016039,0.0114125
1.96015,0.0172219,-0.251969,0.0125759,0.0114125
1.97015,0.108034,0.377953,-0.0114648,0.0114125
1.98015,0.0160224,-0.244094,0.0122054,0.0114125
1.99015,0.108195,0.377953,0.0140117,0.0114125
